order_id,customer_name,gender,country,order_date,product,quantity,price,age
1088,Sneha Rao,Female,UK,27-04-2023,Printer,5,26609.26,39
1095,Rahul Sharma,Female,USA,25-11-2023,Printer,5,27826.01,20
1081,Karan Malhotra,Female,Unknown,21-05-2024,Headphones,4,3880.17,46
1077,Rohan Mehta,Male,India,02-11-2023,Keyboard,2,38325.96,36
1041,Suresh Kumar,Female,UK,02-11-2023,Monitor,3,11911.63,30
1084,Rahul Sharma,Female,UK,20-03-2024,Printer,3,12973.79,60
1086,Sneha Rao,Male,UK,17-09-2023,Headphones,2,4319.67,24
1032,Karan Malhotra,Male,Australia,13-06-2024,Keyboard,3,22073.88,19
1028,Arjun Reddy,Female,USA,25-02-2024,Keyboard,2,32974.87,18
1085,Arjun Reddy,Male,Australia,23-12-2023,Printer,3,40752.65,60
1074,Divya Menon,Male,Unknown,01-03-2023,Monitor,3,46116.11,40
1093,Anita Desai,Female,India,24-01-2024,Laptop,4,49061.45,34
1005,Amit Patel,Female,USA,17-08-2023,Tablet,2,49867.63,26
1049,Arjun Reddy,Female,India,27-09-2023,Speaker,3,33297.89,43
1100,Kavya Nair,Male,Australia,12-10-2024,Monitor,4,11121.24,57
1091,Amit Patel,Unknown,Australia,18-12-2024,Laptop,3,11174.91,27
1046,Vikram Joshi,Male,UK,14-02-2023,Monitor,5,33228.56,30
1052,Pooja Iyer,Female,UK,07-10-2023,Keyboard,4,27787.62,42
1036,Vikram Joshi,Female,India,08-02-2024,Printer,2,4261.83,58
1045,Rohan Mehta,Male,Unknown,03-08-2023,Keyboard,3,33191.19,28
1013,Suresh Kumar,Male,India,07-07-2023,Keyboard,2,20617.5,39
1066,Arjun Reddy,Female,UK,03-11-2023,Keyboard,1,27826.01,47
1054,Sneha Rao,Female,Australia,08-05-2023,Printer,4,49426.49,59
1079,Anita Desai,Female,USA,13-09-2023,Printer,1,12544.17,55
1022,Sneha Rao,Female,USA,13-06-2024,Keyboard,2,1671.39,30
1109,Anita Desai,Female,India,14-03-2024,Speaker,3,27066.19,24
1026,Rohan Mehta,Female,India,15-08-2024,Printer,5,30529.75,38
1113,Arjun Reddy,Female,USA,10-02-2023,Printer,2,41172.23,33
