Order ID,Customer Name,Gender,Country,Order Date,Product,Quantity,Price,Age
1088,Sneha Rao,F,United Kingdom,27-04-2023,Printer,5,26609.26,
1095,Rahul Sharma,F,USA,11/25/2023,Printer,5,,20.0
1081,Karan Malhotra,F,,21-05-2024,Headphones,4,3880.17,46.0
1077,Rohan Mehta,M,India,02/11/2023,Keyboard,2,38325.96,36.0
1041,Suresh Kumar,F,uk,02/11/2023,Monitor,3,11911.63,30.0
1084,Rahul Sharma,Female,UK,03/20/2024,Printer,3,12973.79,60.0
1086,Sneha Rao,male,United Kingdom,17-09-2023,Headphones,2,4319.67,24.0
1032,Karan Malhotra,MALE,australia,13-06-2024,Keyboard,3,22073.88,19.0
1028,Arjun Reddy,FEMALE,United States,02/25/2024,Keyboard,2,32974.87,18.0
1085,Arjun Reddy,M,Australia,23-12-2023,Printer,3,40752.65,60.0
1074,Divya Menon,male,,01-03-2023,Monitor,3,46116.11,40.0
1093,Anita Desai,FEMALE,India,24-01-2024,Laptop,4,49061.45,34.0
1095,Rahul Sharma,F,USA,11/25/2023,Printer,5,,20.0
1005,Amit Patel,FEMALE,usa,17-08-2023,Tablet,2,49867.63,26.0
1049,Arjun Reddy,FEMALE,india,09/27/2023,Speaker,3,33297.89,43.0
1100,Kavya Nair,M,AUS,12/10/2024,Monitor,4,11121.24,57.0
1091,Amit Patel,,australia,12/18/2024,Laptop,3,11174.91,27.0
1046,Vikram Joshi,male,United Kingdom,14-02-2023,Monitor,5,33228.56,30.0
1046,Vikram Joshi,male,United Kingdom,14-02-2023,Monitor,5,33228.56,30.0
1052,Pooja Iyer,FEMALE,United Kingdom,07-10-2023,Keyboard,4,27787.62,42.0
1036,Vikram Joshi,FEMALE,India,08-02-2024,Printer,2,4261.83,58.0
1081,Karan Malhotra,F,,21-05-2024,Headphones,4,3880.17,46.0
1045,Rohan Mehta,male,,03/08/2023,Keyboard,3,33191.19,28.0
1013,Suresh Kumar,Male,India,07/07/2023,Keyboard,2,20617.5,
1066,Arjun Reddy,F,UK,03-11-2023,Keyboard,1,,47.0
1054,Sneha Rao,FEMALE,Australia,08/05/2023,Printer,4,49426.49,59.0
1079,Anita Desai,Female,United States,09/13/2023,Printer,1,12544.17,55.0
1022,Sneha Rao,F,United States,13-06-2024,Keyboard,2,1671.39,30.0
1109,Anita Desai,FEMALE,India,14-03-2024,Speaker,3,27066.19,24.0
1026,Rohan Mehta,female,INDIA,15-08-2024,Printer,5,30529.75,38.0
1113,Arjun Reddy,female,USA,10/02/2023,Printer,2,41172.23,33.0
1112,Rohan Mehta,,uk,14-10-2024,Speaker,1,18733.71,25.0
1087,Amit Patel,MALE,United States,12/10/2024,Tablet,2,48494.64,57.0
1015,Amit Patel,Male,India,08-10-2023,Mobile,2,20486.89,54.0
1020,Rahul Sharma,female,U.K,12-04-2023,Laptop,3,18550.25,20.0
1117,Sneha Rao,female,usa,08-01-2023,Mobile,5,37174.1,
1043,Divya Menon,M,Australia,05/02/2024,Speaker,4,22303.21,
1040,Sneha Rao,FEMALE,AUS,23-04-2024,Laptop,1,15064.66,43.0
1051,Priya Singh,M,india,27-02-2024,Laptop,5,20695.54,32.0
1050,Suresh Kumar,Female,Bharat,08/21/2023,Keyboard,5,18408.08,49.0
1012,Rahul Sharma,Female,AUS,07/05/2023,Keyboard,2,9915.34,46.0
1076,Kavya Nair,FEMALE,australia,07/12/2023,Monitor,2,37869.69,25.0
1011,Sneha Rao,MALE,United States,06/14/2024,Printer,2,,60.0
1062,Kavya Nair,MALE,,28-11-2024,Mobile,2,37830.5,32.0
1065,Neha Gupta,MALE,United States,07-08-2024,Printer,3,2119.46,41.0
1018,Vikram Joshi,M,India,07-11-2024,Monitor,5,10926.17,39.0
1119,Sanjay Verma,female,india,05/24/2023,Laptop,4,39504.05,29.0
1002,Neha Gupta,Female,UK,20-06-2023,Printer,1,27826.01,
1108,Sanjay Verma,female,usa,05/16/2024,Headphones,4,49800.49,47.0
1017,Sanjay Verma,female,usa,26-11-2023,Speaker,5,35325.23,57.0
1029,Sanjay Verma,MALE,Bharat,14-09-2024,Tablet,4,30826.29,50.0
1082,Anita Desai,MALE,UK,10/15/2023,Speaker,5,27938.66,20.0
1037,Anita Desai,Female,AUS,04-07-2024,Tablet,1,42553.99,49.0
1030,Arjun Reddy,M,United Kingdom,09-06-2024,Speaker,1,35820.47,33.0
1107,Rohan Mehta,M,usa,03/08/2023,Keyboard,4,6564.83,46.0
1058,Sneha Rao,FEMALE,AUS,11/10/2023,Monitor,1,44995.97,47.0
1059,Pooja Iyer,female,United Kingdom,19-06-2024,Printer,4,5779.34,42.0
1098,Neha Gupta,Male,australia,03/01/2024,Printer,3,25897.76,
1099,Neha Gupta,F,india,09/05/2024,Tablet,4,38272.68,54.0
1096,Karan Malhotra,FEMALE,United Kingdom,23-08-2024,Printer,3,48699.32,49.0
1027,Arjun Reddy,Female,INDIA,01/05/2023,Keyboard,3,11619.71,30.0
1059,Pooja Iyer,female,United Kingdom,19-06-2024,Printer,4,5779.34,42.0
1003,Sneha Rao,FEMALE,Bharat,22-05-2023,Tablet,2,18823.96,31.0
1033,Sanjay Verma,Male,AUS,05/02/2024,Printer,2,43409.14,29.0
1070,Priya Singh,FEMALE,usa,04-12-2023,Monitor,4,25524.78,45.0
1021,Pooja Iyer,male,U.S.A,07/26/2023,Printer,1,9378.35,39.0
1080,Suresh Kumar,F,india,07-03-2023,Headphones,2,5588.82,34.0
1105,Anita Desai,Male,India,11/20/2023,Monitor,2,38464.47,44.0
1111,Anita Desai,Female,U.S.A,08/26/2024,Laptop,1,7283.3,39.0
1077,Rohan Mehta,M,India,02/11/2023,Keyboard,2,38325.96,36.0
1035,Rahul Sharma,MALE,U.S.A,05/23/2024,Mobile,5,47413.97,47.0
1010,Sneha Rao,male,INDIA,02-04-2023,Keyboard,1,4014.16,58.0
1116,Pooja Iyer,MALE,uk,10-01-2024,Printer,3,47753.14,
1071,Kavya Nair,FEMALE,United States,06/14/2024,Printer,4,36615.82,38.0
1097,Neha Gupta,Female,usa,10/15/2024,Mobile,3,33215.5,37.0
1031,Sneha Rao,,Bharat,13-10-2023,Speaker,4,3582.15,44.0
1016,Sneha Rao,FEMALE,U.K,08/01/2023,Headphones,3,23132.62,22.0
1114,Suresh Kumar,male,AUS,09/16/2024,Keyboard,5,16589.95,60.0
1001,Pooja Iyer,F,Australia,09-03-2023,Laptop,2,35057.9,39.0
1106,Karan Malhotra,Female,australia,15-04-2024,Laptop,2,22260.47,48.0
1115,Karan Malhotra,male,United Kingdom,25-05-2023,Monitor,5,15275.71,37.0
1117,Sneha Rao,female,usa,08-01-2023,Mobile,5,37174.1,
1009,Arjun Reddy,M,AUS,23-05-2024,Printer,2,46481.22,30.0
1004,Sanjay Verma,male,usa,10/07/2024,Laptop,3,20357.66,22.0
1038,Arjun Reddy,FEMALE,United Kingdom,09-08-2023,Monitor,3,42659.8,23.0
1078,Suresh Kumar,Female,,28-06-2024,Printer,1,23257.84,22.0
1073,Rahul Sharma,Female,uk,28-02-2024,Keyboard,2,33008.45,32.0
1094,Pooja Iyer,M,U.K,23-08-2023,Tablet,2,41603.99,
1034,Divya Menon,MALE,australia,08-11-2023,Laptop,5,3078.24,40.0
1064,Vikram Joshi,Male,Australia,04/04/2023,Laptop,3,49798.41,25.0
1061,Neha Gupta,M,U.K,26-09-2024,Tablet,4,9194.18,26.0
1053,Suresh Kumar,F,UK,06/12/2024,Speaker,2,22604.1,48.0
1101,Priya Singh,M,,06/06/2023,Monitor,2,35734.55,58.0
1024,Sanjay Verma,MALE,usa,12/22/2023,Laptop,5,46315.97,
1056,Anita Desai,,AUS,02/14/2023,Keyboard,3,49872.58,23.0
1069,Suresh Kumar,FEMALE,USA,11/14/2023,Laptop,1,49930.04,43.0
1063,Suresh Kumar,F,Bharat,16-01-2024,Printer,3,5863.13,32.0
1104,Suresh Kumar,female,UK,18-02-2023,Monitor,2,31438.61,57.0
1060,Neha Gupta,female,Bharat,09-11-2023,Tablet,2,32012.58,57.0
1019,Divya Menon,M,UK,18-12-2024,Headphones,3,8498.31,46.0
1006,Neha Gupta,FEMALE,Bharat,22-12-2023,Monitor,5,43108.6,18.0
1055,Priya Singh,MALE,Australia,11-10-2024,Headphones,1,23739.78,34.0
1075,Pooja Iyer,,United States,25-10-2023,Tablet,2,18817.63,38.0
1000,Arjun Reddy,female,India,10/03/2024,Keyboard,2,36955.33,52.0
1044,Amit Patel,male,usa,20-10-2023,Mobile,5,38339.95,56.0
1007,Rohan Mehta,M,United States,11/10/2023,Headphones,5,45675.08,58.0
1048,Priya Singh,Female,USA,09-03-2024,Headphones,4,26188.71,46.0
1031,Sneha Rao,,Bharat,13-10-2023,Speaker,4,3582.15,44.0
1102,Suresh Kumar,Male,United Kingdom,17-07-2024,Mobile,3,20208.92,
1039,Anita Desai,M,United States,23-05-2023,Monitor,3,14343.1,56.0
1008,Rahul Sharma,Male,United Kingdom,19-02-2023,Tablet,3,12352.89,33.0
1090,Rahul Sharma,female,AUS,11-02-2024,Printer,1,19058.18,19.0
1042,Neha Gupta,M,UK,09/23/2023,Keyboard,3,9382.36,18.0
1110,Sneha Rao,MALE,uk,10/22/2023,Speaker,5,14346.17,57.0
1089,Pooja Iyer,male,,27-07-2023,Monitor,4,45312.66,27.0
1072,Priya Singh,female,Australia,11/11/2023,Laptop,5,47852.92,53.0
1054,Sneha Rao,FEMALE,Australia,08/05/2023,Printer,4,49426.49,59.0
1014,Vikram Joshi,female,AUS,19-12-2023,Keyboard,3,11276.19,
1057,Vikram Joshi,female,uk,06-03-2023,Keyboard,5,20896.56,29.0
1092,Karan Malhotra,MALE,Australia,10-07-2023,Laptop,5,28964.85,27.0
1103,Arjun Reddy,male,U.K,02/27/2023,Printer,5,45580.26,21.0
1023,Divya Menon,M,UK,02/02/2024,Headphones,5,48145.45,34.0
1083,Sanjay Verma,Male,UK,10/17/2023,Keyboard,4,49553.81,51.0
1067,Amit Patel,male,USA,01-05-2023,Keyboard,3,38831.24,56.0
1118,Karan Malhotra,MALE,USA,11-05-2023,Speaker,4,32701.67,36.0
1025,Divya Menon,FEMALE,INDIA,05-04-2024,Tablet,4,35011.82,53.0
1068,Amit Patel,M,INDIA,24-07-2023,Laptop,2,13635.69,26.0
1047,Vikram Joshi,MALE,United Kingdom,08/18/2024,Monitor,4,47162.47,
